"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8381","Complete order flow for performance_glitch_user","chromium","Mon Jun 30 13:09:03 IST 2025","passed","Mon Jun 30 13:09:12 IST 2025","","endToEnd.spec.js","",""
"","3301","Complete order flow for visual_user","chromium","Mon Jun 30 13:09:03 IST 2025","passed","Mon Jun 30 13:09:06 IST 2025","","endToEnd.spec.js","",""
"","1780","Login behavior detection for standard_user","chromium","Mon Jun 30 13:44:04 IST 2025","passed","Mon Jun 30 13:44:06 IST 2025","","loginMatrix.spec.js","",""
"","1372","Login behavior detection for visual_user","chromium","Mon Jun 30 13:44:08 IST 2025","passed","Mon Jun 30 13:44:09 IST 2025","","loginMatrix.spec.js","",""
"","3057","Login behavior detection for problem_user","chromium","Mon Jun 30 13:44:04 IST 2025","passed","Mon Jun 30 13:44:07 IST 2025","","loginMatrix.spec.js","",""
"","2755","Complete order flow for standard_user","chromium","Thu Jul 31 15:21:57 IST 2025","passed","Thu Jul 31 15:22:00 IST 2025","","endToEnd.spec.js","",""
"","1661","Login behavior detection for error_user","chromium","Mon Jun 30 13:44:07 IST 2025","passed","Mon Jun 30 13:44:09 IST 2025","","loginMatrix.spec.js","",""
"","1954","Login behavior detection for locked_out_user","chromium","Mon Jun 30 13:44:04 IST 2025","passed","Mon Jun 30 13:44:06 IST 2025","","loginMatrix.spec.js","",""
"","8079","Login behavior detection for all users","chromium","Thu Jul 31 15:21:57 IST 2025","passed","Thu Jul 31 15:22:05 IST 2025","","loginMatrix.spec.js","",""
"","6931","Login behavior detection for performance_glitch_user","chromium","Mon Jun 30 13:44:06 IST 2025","passed","Mon Jun 30 13:44:13 IST 2025","","loginMatrix.spec.js","",""
